Song Name,Megasync,Memory Card,,
Natural High Hammerfall,,,,
Here at the End of the World Orden Ogan,,,,
Are You Metal? Helloween,x,y,,
Hammerfall - v1.07 Hammerfall,,,,
Wrathchild - 1998 Remastered Version Iron Maiden,,,,
Waking Up The Damned MyGrain,,,,
Criminally Insane Slayer,x,y,,
Thunderstruck 2Cellos,,,,
Go To Hell Megadeth,x,,,
I Am Morbid Morbid Angel,,,,
Nazi Punks Fuck Off Napalm Death,x,y,,
Morgenrot Megaherz,,,,
Motorhead Motörhead,x,y,,
Reverie/Harlequin Forest Opeth,,,,
April Rain Delain,,,,
Hang'em All Carpenter Brut,,,,
Event Horizon Jarle H. Olsen,,,,
Confused Six Feet Under,,,,
Love Potion No.9 Tygers Of Pan Tang,,,,
Gangland Tygers Of Pan Tang,,,,
Let It Loose Savage,,,,
One of These Days Trespass,,,,
Native Blood Testament,x,p,,
In My Dreams (Re-Recorded / Remastered) Dokken,x,y,,
Gutter Ballet Savatage,y,,,
Into The Fire Dokken,x,y,,
Breaking The Chains Dokken,x,y,,
Alone Again Dokken,x,y,,
Die Hölle muss warten Eisbrecher,,,,
Halbmondfinsternis Schöngeist,,,,
Roter Mond Megaherz,,,,
Singularity Born Of Osiris,x,y,,
Wage Slaves All Shall Perish,,,,
Denied Sonic Syndicate,,,,
All Against All The Haunted,,,,
Hatredcopter Metalocalypse: Dethklok,x,y,,
All I Have The Haunted,,,,
Mouth For War Pantera,x,y,,
Call of Destiny Xandria,,,,
Crimson Gale Diabulus in Musica,,,,
Stand My Ground Within Temptation,,,,
Eat You Alive Emigrate,,,,
Racing Heart The Murder of My Sweet,,,,
Shiantara Edenbridge,,,,
Powercore Nekrogoblikon,,,,
No One Survives Nekrogoblikon,,,,
Stone of the Seven Suns SuidAkrA,,,,
"I, Caligvla Ex Deo",x,y,,
The Rise Of Hannibal Ex Deo,,,,
Misguided Distorted Harmony,,,,
A Dream in Static (feat. Daniel Tompkins) Earthside,,,,
Call Me Pain,,,,
Steal Away the Light Triosphere,,,,
Elimination Overkill,,,,
"Mean, Green, Killing Machine Overkill",,,,
Phantom Self Sepultura,,,,
Ratamahatta Sepultura,x,y,,
Roots Bloody Roots Sepultura,x,y,,
Call Me Pain,,,,
Prey Equilibrium,,,,
Wirtshaus Gaudi Equilibrium,,,,
Himmelsrand Equilibrium,,,,
Blut Im Auge Equilibrium,,,,
Born To Be Epic Equilibrium,,,,
Return To Serenity Testament,x,p,,
Camouflage Stan Ridgway,,,,
Alles aus Liebe OOMPH!,,,,
Sandmann OOMPH!,,,,
Engel Rammstein,x,y,,
LOS Rammstein,x,y,,
Mein Herz Brennt Rammstein,x,y,,
RAMMLIED Rammstein,x,y,,
Sonne Rammstein,x,y,,
MEIN LAND Rammstein,x,y,,
MANN GEGEN MANN Rammstein,x,y,,
BENZIN Rammstein,x,y,,
HAIFISCH Rammstein,x,y,,
Du Riechst So Gut Rammstein,x,p,,
ROSENROT Rammstein,x,y,,
"REISE, REISE Rammstein",x,y,,
Mutter Rammstein,x,y,,
ICH TU DIR WEH Rammstein,x,y,,
KEINE LUST Rammstein,x,y,,
Master Of Puppets Metallica,x,y,,
Nothing Else Matters Metallica,x,y,,
Enter Sandman Metallica,x,y,,
Sultan's Curse Mastodon,x,y,,
40 1 Sabaton,x,y,,
Ghost Division Sabaton,x,y,,
Wehrmacht Sabaton,x,y,,
Into The Fire Sabaton,x,y,,
Ghost Division Sabaton,xx,yy,,
Everybody's Fool Evanescence,,,,
Curse the Gods Destruction,,,,
Keelhauled Alestorm,,,,
Broken Pieces Apocalyptica,x,,,
Bring Me To Life Evanescence,,,,
Helden Apocalyptica,x,,,
Not Strong Enough Apocalyptica,,,,
I'm Not Jesus - International Version Apocalyptica,,,,
EDM Death Machine Knife Party,,,,
The Edge Blind Guardian,,,,
Interlude Shokran,,,,
Vivace Yngwie Malmsteen,,,,
Alison Hell (98 Reissue) Annihilator,,,,
Kill EVERYBODY Skrillex,,,,
Hall Of The Mountain King - Instrumental Version Apocalyptica,,,,
Give It Up Knife Party,,,,
Profetens Åpenbaring Gorgoroth,x,,,
Sorg Gorgoroth,x,,,
Under The Pagan Megalith Gorgoroth,x,,,
Colony Of Birchmen Mastodon,x,y,,
Freezing Moon Mayhem,,,,
De Mysteriis Dom Sathanas Mayhem,,,,
Hymn To A Gas Giant Morbid Angel,,,,
Pray the Martyr Shokran,,,,
Pulse Mendel,,,,
"Symphony No.9 In E Minor, Op.95, B.178 - ""From The New World"": 4. Allegro con fuoco - Live Antonín Dvo?ák",,,,
I'm Shipping Up To Boston Dropkick Murphys,,,,
Rollin' (Air Raid Vehicle) Limp Bizkit,,,,
The Nail Children Of Bodom,,,,
"Red Light In My Eyes, Pt. 2 Children Of Bodom",x,y,,
"Red Light In My Eyes, Pt. 1 Children Of Bodom",x,y,,
Deadnight Warrior Children Of Bodom,,,,
Angels Don't Kill Children Of Bodom,,,,
Hellion Children Of Bodom,,,,
Needled 24 / 7 Children Of Bodom,,,,
Bastards Of Bodom Children Of Bodom,,,,
In Your Face Children Of Bodom,,,,
Living Dead Beat Children Of Bodom,,,,
Smile Pretty for the Devil Children Of Bodom,,,,
Needled 24 / 7 Children Of Bodom,,,,
One Bottle And A Knee Deep Children Of Bodom,,,,
Bodom Blue Moon (The Second Coming) Children Of Bodom,,,,
You're Better Off Dead Children Of Bodom,,,,
Bodom Beach Terror Children Of Bodom,,,,
Was It Worth It? Children Of Bodom,,,,
Cry Of The Nihilist Children Of Bodom,,,,
Ugly Children Of Bodom,,,,
Pussyfoot Miss Suicide Children Of Bodom,,,,
Shovel Knockout Children Of Bodom,,,,
Not My Funeral Children Of Bodom,,,,
Bed Of Razors Children Of Bodom,,,,
Switchback Celldweller,,,,
Waste Of Skin Children Of Bodom,,,,
Waking the Demon Bullet For My Valentine,,,,
Scream Aim Fire Bullet For My Valentine,,,,
Eye of the Storm Bullet For My Valentine,,,,
Nightmare Avenged Sevenfold,x,y,,
Welcome to the Family Avenged Sevenfold,,,,
Back In Control Sabaton,x,y,,
Buffalo Soldier Bob Marley & The Wailers,,,,
Them Bones Alice In Chains,x,y,,
Lost Rune Of Thunder Eternal Tears Of Sorrow,,,,
Prophetian Eternal Tears Of Sorrow,,,,
Venator Be'lakor,x,y,,
Acres Of Skin Fear Factory,x,y,,
Barbaraosa Lamb of God,x,y,,
16 Cradles - (revised version) Hail The Villain,x,y,,
Evil Has A Name Hail The Villain,x,y,,
My Reward Hail The Villain,x,y,,
Runaway Hail The Villain,x,y,,
The Snake Joe Satriani,,,,
7 Days To The Wolves (Instrumental) Nightwish,,,,
Hizbollah Ministry,,,,
The Jesters Dance In Flames,,,,
Brothers Yngwie Malmsteen,,,,
Prelude Of Souls Rage,,,,
Chemical Warfare Slayer,x,y,,
Endless Nights Sabaton,x,y,,
Inmate 4859 Sabaton,x,y,,
No Bullets Fly Sabaton,x,y,,
Camouflage - Bonus Sabaton,x,y,,
Hill 3234 Sabaton,x,y,,
Rorke's Drift Sabaton,x,y,,
The Lost Battalion Sabaton,x,y,,
Last Dying Breath Sabaton,x,y,,
Shiroyama Sabaton,x ,y ,,
Ghost Division Sabaton,xx,yy,,
En Livstid I Krig - Swedish Version Sabaton,,,,
Panzerkampf Sabaton,x,y,,
Out in the Fields - 2002 - Remaster Gary Moore,,,,
Over The Hills And Far Away Nightwish,,,,
Moonlight Sonata (Act 3) Exmortus,,,,
Punishment Shokran,,,,
Power and Glory (Takada's Theme) Yngwie Malmsteen,,,,
Molto Arpeggiosa Yngwie Malmsteen,,,,
Blue Yngwie Malmsteen,,,,
"Grapowski's Malmsuite 1001 - Bonus Track - ""Perfect Gentlemen"" Single Helloween",,,,
Django Luis Bacalov,,,,
"Django (From ""Django Unchained"") - Main Theme Luis Bacalov",,,,
Through The Fire And Flames DragonForce,x,y,,
On The Backs Of Angels Dream Theater,,,,
The Enemy Inside Dream Theater,,,,
Curl Of The Burl Mastodon,x,y,,
High Road Mastodon,x,y,,
Panama - 2015 Remastered Version Van Halen,,,,
Why Can't This Be Love Van Halen,,,,
Keep Their Heads Ringin' - LP Version; Dr. Dre,,,,
Hit 'em Up 2Pac,,,,
Nuthin' But A G'Thang Snoop Dogg,,,,
The Next Episode Dr. Dre,,,,
Express Yourself - Remix; N.W.A.,,,,
Fuck Tha Police N.W.A.,,,,
Straight Outta Compton - Extended Mix;Edit; N.W.A.,,,,
Mi Vida Loca Kid Frost,,,,
La Raza Kid Frost,,,,
Check Yo Self - Remix; Ice Cube,,,,
Alwayz Into Somethin' N.W.A.,,,,
The Ghetto Too $hort,,,,
Thunderstruck AC/DC,x,y,,
Andalusia Joe Satriani,,,,
Road To Zion Damian Marley,,,,
Make It Bun Dem Skrillex,,,,
Welcome To Jamrock Damian Marley,,,,
Boombastic Shaggy,,,,
Somewhat Damaged Nine Inch Nails,x,y,,
"Starfuckers, Inc. Nine Inch Nails",x,y,,
Every Day Is Exactly The Same Nine Inch Nails,x,y,,
Bye-Bye Borderline Zeromancer,,,,
War Meshuggah,x,y,,
Bruises Unloco,,,,
The Song of the Golden Dragon Estas Tonne,,,,
Empty Streets Scandroid,,,,
Try This Pegboard Nerds,,,,
Dum Dee Dum Keys N Krates,,,,
Local Forecast - Elevator Kevin MacLeod,,,,
Bangarang (feat. Sirah) Skrillex,,,,
Premonition Joe Satriani,,,,
Falling from the Edge of Space Bob Katsionis,,,,
"Adagio for Strings, Op. 11 Samuel Barber",,,,
Molto Arpeggiosa - Instrumental Yngwie Malmsteen,,,,
A Phase I'm Going Through Joe Satriani,,,,
Bleeding Mascara - Instrumental Version Atreyu,,,,
Driving at Night Joe Satriani,,,,
Instru (Mental Institution) Yngwie Malmsteen,,,,
Prelude of Souls Rage,,,,
Blitzkrieg Yngwie Malmsteen,,,,
InstruMENTAL Institution - Instrumental Yngwie Malmsteen,,,,
Blitzkrieg - Instrumental Yngwie Malmsteen,,,,
Forged In Dragon Flames Armory,,,,
Blue - Instrumental Yngwie Malmsteen,,,,
"Toccata and Fugue in D minor, BWV 565 Johann Sebastian Bach",,,,
Speaking Unto Nations (Beethoven Symphony no 7 - II ) Ludwig van Beethoven,,,,
Power and Glory: Takada's Theme - Instrumental Yngwie Malmsteen,,,,
Dvorak: Excerpt from Symphony No. 9 (Live in Miskolc) Therion,,,,
Weird Dreams Blind Guardian,,,,
Part II: Beyond the Gate Wretched,,,,
Watch This Slash,,,,
(You're) My World Joe Satriani,,,,
Requiem for the Living Jeff Loomis,,,,
Right Side Of The Bed - Instrumental Version Atreyu,,,,
